2015-10-22T04:55:13.122+0100 I CONTROL  ***** SERVER RESTARTED *****
2015-10-22T04:55:13.154+0100 I JOURNAL  [initandlisten] journal dir=data\journal
2015-10-22T04:55:13.156+0100 I JOURNAL  [initandlisten] recover : no journal files present, no recovery needed
2015-10-22T04:55:13.187+0100 I JOURNAL  [durability] Durability thread started
2015-10-22T04:55:13.188+0100 I JOURNAL  [journal writer] Journal writer thread started
2015-10-22T04:55:13.196+0100 I CONTROL  [initandlisten] MongoDB starting : pid=4340 port=27017 dbpath=data 64-bit host=poxstone-m
2015-10-22T04:55:13.196+0100 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2015-10-22T04:55:13.196+0100 I CONTROL  [initandlisten] db version v3.0.4
2015-10-22T04:55:13.197+0100 I CONTROL  [initandlisten] git version: 0481c958daeb2969800511e7475dc66986fa9ed5
2015-10-22T04:55:13.197+0100 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1m-fips 19 Mar 2015
2015-10-22T04:55:13.197+0100 I CONTROL  [initandlisten] build info: windows sys.getwindowsversion(major=6, minor=1, build=7601, platform=2, service_pack='Service Pack 1') BOOST_LIB_VERSION=1_49
2015-10-22T04:55:13.197+0100 I CONTROL  [initandlisten] allocator: tcmalloc
2015-10-22T04:55:13.197+0100 I CONTROL  [initandlisten] options: { config: "mongod.conf", net: { bindIp: "127.0.0.1", port: 27017 }, storage: { dbPath: "data/", journal: { enabled: true }, mmapv1: { smallFiles: true } }, systemLog: { destination: "file", logAppend: true, path: "mongodb.log" } }
2015-10-22T04:55:13.220+0100 I INDEX    [initandlisten] allocating new ns file data\local.ns, filling with zeroes...
2015-10-22T04:55:13.278+0100 I STORAGE  [FileAllocator] allocating new datafile data\local.0, filling with zeroes...
2015-10-22T04:55:13.278+0100 I STORAGE  [FileAllocator] creating directory data\_tmp
2015-10-22T04:55:13.285+0100 I STORAGE  [FileAllocator] done allocating datafile data\local.0, size: 16MB,  took 0.005 secs
2015-10-22T04:55:13.301+0100 I NETWORK  [initandlisten] waiting for connections on port 27017
2015-10-22T05:06:28.765+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53296 #1 (1 connection now open)
2015-10-22T05:06:28.765+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53297 #2 (2 connections now open)
2015-10-22T05:06:28.765+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53298 #3 (3 connections now open)
2015-10-22T05:06:28.765+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53299 #4 (4 connections now open)
2015-10-22T05:06:28.765+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53300 #5 (5 connections now open)
2015-10-22T05:08:12.212+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53342 #6 (6 connections now open)
2015-10-22T05:10:18.730+0100 I NETWORK  [conn1] end connection 127.0.0.1:53296 (5 connections now open)
2015-10-22T05:10:18.731+0100 I NETWORK  [conn4] end connection 127.0.0.1:53299 (4 connections now open)
2015-10-22T05:10:18.732+0100 I NETWORK  [conn3] end connection 127.0.0.1:53298 (3 connections now open)
2015-10-22T05:10:18.732+0100 I NETWORK  [conn2] end connection 127.0.0.1:53297 (2 connections now open)
2015-10-22T05:10:18.732+0100 I NETWORK  [conn5] end connection 127.0.0.1:53300 (1 connection now open)
2015-10-22T05:11:05.355+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53402 #7 (2 connections now open)
2015-10-22T05:11:05.356+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53403 #8 (3 connections now open)
2015-10-22T05:11:05.356+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53404 #9 (4 connections now open)
2015-10-22T05:11:05.357+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53405 #10 (5 connections now open)
2015-10-22T05:11:05.358+0100 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:53406 #11 (6 connections now open)
